sample;annotation
помидор бебсо для отрубми;[(0, 7, 'B-TYPE'), (8, 13, 'I-TYPE'), (14, 17, 'O'), (18, 25, 'O')]
йогурт без глютена;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 18, 'O')]
налина;[(0, 6, 'O')]
печенье для изюмом семье;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 18, 'O'), (19, 24, 'O')]
рис в ерем кошек;[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 10, 'O'), (11, 16, 'O')]
сыр филе из солью;[(0, 3, 'B-TYPE'), (4, 8, 'I-TYPE'), (9, 11, 'O'), (12, 17, 'O')]
мкуа бедхо с соаки;[(0, 4, 'B-TYPE'), (5, 10, 'I-TYPE'), (11, 12, 'O'), (13, 18, 'O')]
некта тавира шао;[(0, 5, 'O'), (6, 12, 'O'), (13, 16, 'O')]
зоьо иккима ета;[(0, 4, 'O'), (5, 11, 'O'), (12, 15, 'O')]
булочки для едтей отруыями;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 17, 'O'), (18, 26, 'O')]
фазо;[(0, 4, 'O')]
творожки грудка в вкусом глюетна;[(0, 8, 'B-TYPE'), (9, 15, 'I-TYPE'), (16, 17, 'O'), (18, 24, 'O'), (25, 32, 'O')]
ука из собаки;[(0, 3, 'B-TYPE'), (4, 6, 'O'), (7, 13, 'O')]
печенье в шашыка глютена;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 16, 'O'), (17, 24, 'O')]
кабаки в перцем;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 15, 'O')]
печенье нарека в сольё детей;[(0, 7, 'B-TYPE'), (8, 14, 'I-TYPE'), (15, 16, 'O'), (17, 22, 'O'), (23, 28, 'O')]
кофе без детей стлью;[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 14, 'O'), (15, 20, 'O')]
юре;[(0, 3, 'B-TYPE')]
кабачки с тебе собаки;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 14, 'O'), (15, 21, 'O')]
лапша по собаки;[(0, 5, 'B-TYPE'), (6, 8, 'O'), (9, 15, 'O')]
соь рамен с гюлтена;[(0, 3, 'B-TYPE'), (4, 9, 'I-TYPE'), (10, 11, 'O'), (12, 19, 'O')]
вода;[(0, 4, 'B-TYPE')]
водр из солью;[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 13, 'O')]
лима;[(0, 4, 'O')]
ляпша детский в завтрак;[(0, 5, 'B-TYPE'), (6, 13, 'I-TYPE'), (14, 15, 'O'), (16, 23, 'O')]
помидоэ спагетти для тебе чесноком;[(0, 7, 'B-TYPE'), (8, 16, 'I-TYPE'), (17, 20, 'O'), (21, 25, 'O'), (26, 34, 'O')]
колбаса из собак;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 16, 'O')]
бедуне;[(0, 6, 'O')]
лута табе кили;[(0, 4, 'O'), (5, 9, 'O'), (10, 14, 'O')]
зодуко таир;[(0, 6, 'O'), (7, 11, 'O')]
творожки с аджике глютена;[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 17, 'O'), (18, 25, 'O')]
шаурма с детйе;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 14, 'O')]
втжрожки для паектах;[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 20, 'O')]
беив мабефа;[(0, 4, 'O'), (5, 11, 'O')]
чай из шашылка;[(0, 3, 'B-TYPE'), (4, 6, 'O'), (7, 14, 'O')]
соль в солюь;[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 12, 'O')]
Махе тебе;[(0, 4, 'B-BRAND'), (5, 9, 'O')]
печенеь гзудка без пакеатх;[(0, 7, 'B-TYPE'), (8, 14, 'I-TYPE'), (15, 18, 'O'), (19, 26, 'O')]
Самоша новый банке;[(0, 6, 'B-BRAND'), (7, 12, 'O'), (13, 18, 'O')]
апша без детег аджике;[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 14, 'O'), (15, 21, 'O')]
мафали расауд бйря;[(0, 6, 'O'), (7, 13, 'O'), (14, 18, 'O')]
Нанаша сейчас;[(0, 6, 'B-BRAND'), (7, 13, 'O')]
уьоль для завтрак;[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 17, 'O')]
офе для весй;[(0, 3, 'B-TYPE'), (4, 7, 'O'), (8, 12, 'O')]
сосиски батно без всей;[(0, 7, 'B-TYPE'), (8, 13, 'I-TYPE'), (14, 17, 'O'), (18, 22, 'O')]
лутох ффазо;[(0, 5, 'O'), (6, 11, 'O')]
кетчуп фермесркий на чесноком;[(0, 6, 'B-TYPE'), (7, 17, 'I-TYPE'), (18, 20, 'O'), (21, 29, 'O')]
колбаса в вией;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 14, 'O')]
ъофе с зватрак;[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 14, 'O')]
крица с перцем;[(0, 5, 'B-TYPE'), (6, 7, 'O'), (8, 14, 'O')]
ныр с ченсоком;[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 14, 'O')]
кфе без солью;[(0, 3, 'B-TYPE'), (4, 7, 'O'), (8, 13, 'O')]
лапша;[(0, 5, 'B-TYPE')]
Кокохе тебе;[(0, 6, 'B-BRAND'), (7, 11, 'O')]
перловак толовый в шлашыка чесноком;[(0, 8, 'B-TYPE'), (9, 16, 'I-TYPE'), (17, 18, 'O'), (19, 26, 'O'), (27, 35, 'O')]
жидкость с чесноком;[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 19, 'O')]
винама нерифа бетоив;[(0, 6, 'O'), (7, 13, 'O'), (14, 20, 'O')]
чай без всей;[(0, 3, 'B-TYPE'), (4, 7, 'O'), (8, 12, 'O')]
тазо бйви;[(0, 4, 'O'), (5, 9, 'O')]
латохн;[(0, 6, 'O')]
поимдор с собаки;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 16, 'O')]
колкаса на соьлю;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 16, 'O')]
гречка без гютена завак;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 17, 'O'), (18, 23, 'O')]
удтоса;[(0, 6, 'O')]
творожки без собак;[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 18, 'O')]
мако;[(0, 4, 'O')]
Шанари акция;[(0, 6, 'B-BRAND'), (7, 12, 'O')]
помидор из завтршк;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 18, 'O')]
фое по семье собаки;[(0, 3, 'B-TYPE'), (4, 6, 'O'), (7, 12, 'O'), (13, 19, 'O')]
Лили ярпом семеь;[(0, 4, 'B-BRAND'), (5, 10, 'O'), (11, 16, 'O')]
саки кикиви мабери;[(0, 4, 'O'), (5, 11, 'O'), (12, 18, 'O')]
булчки на собаки;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 16, 'O')]
рис фезмерский из тебе аврфаг;[(0, 3, 'B-TYPE'), (4, 14, 'I-TYPE'), (15, 17, 'O'), (18, 22, 'O'), (23, 29, 'O')]
хлопья по кошем банке;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 15, 'O'), (16, 21, 'O')]
акбачки из тебе семье;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 15, 'O'), (16, 21, 'O')]
помидор бтон;[(0, 7, 'B-TYPE'), (8, 12, 'I-TYPE')]
Таша новый;[(0, 4, 'B-BRAND'), (5, 10, 'O')]
сыр без бжнак;[(0, 3, 'B-TYPE'), (4, 7, 'O'), (8, 13, 'O')]
йогурт спагетти по завфрак;[(0, 6, 'B-TYPE'), (7, 15, 'I-TYPE'), (16, 18, 'O'), (19, 26, 'O')]
круица на всей;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 14, 'O')]
салаты по собак;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 15, 'O')]
рабеша;[(0, 6, 'O')]
хлопэя спаетхи по семье завтрак;[(0, 6, 'B-TYPE'), (7, 14, 'I-TYPE'), (15, 17, 'O'), (18, 23, 'O'), (24, 31, 'O')]
кетчуп на завтрак отрубями;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 17, 'O'), (18, 26, 'O')]
мука для тебе;[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 13, 'O')]
кетчуп;[(0, 6, 'B-TYPE')]
аворожки с коешк;[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 16, 'O')]
аша колуко;[(0, 3, 'O'), (4, 10, 'O')]
хемоил кибе тофа;[(0, 6, 'O'), (7, 11, 'O'), (12, 16, 'O')]
Луне сейчас соью;[(0, 4, 'B-BRAND'), (5, 11, 'O'), (12, 16, 'O')]
печенье;[(0, 7, 'B-TYPE')]
виоу виду нетаду;[(0, 4, 'O'), (5, 9, 'O'), (10, 16, 'O')]
зои литако тако;[(0, 3, 'O'), (4, 10, 'O'), (11, 15, 'O')]
сыр детский в солью;[(0, 3, 'B-TYPE'), (4, 11, 'I-TYPE'), (12, 13, 'O'), (14, 19, 'O')]
кима вимо рдзо;[(0, 4, 'O'), (5, 9, 'O'), (10, 14, 'O')]
раки тали енефа;[(0, 4, 'O'), (5, 9, 'O'), (10, 15, 'O')]
бехе шаас;[(0, 4, 'O'), (5, 9, 'O')]
булочик спагетти для есноком;[(0, 7, 'B-TYPE'), (8, 16, 'I-TYPE'), (17, 20, 'O'), (21, 28, 'O')]
булочки из всей;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 15, 'O')]
грекча по чесноком;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 18, 'O')]
рис для кшек;[(0, 3, 'B-TYPE'), (4, 7, 'O'), (8, 12, 'O')]
колбаса по банке;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 16, 'O')]
коохе;[(0, 5, 'O')]
тоок;[(0, 4, 'O')]
салаты ёпаедти с шашллка;[(0, 6, 'B-TYPE'), (7, 14, 'I-TYPE'), (15, 16, 'O'), (17, 24, 'O')]
кетчуп без завтрак деей;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 18, 'O'), (19, 23, 'O')]
уоль;[(0, 4, 'B-TYPE')]
йогухт;[(0, 6, 'B-TYPE')]
макароны в дебе тйбе;[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 15, 'O'), (16, 20, 'O')]
ркс для кошек собак;[(0, 3, 'B-TYPE'), (4, 7, 'O'), (8, 13, 'O'), (14, 19, 'O')]
ворожки для собак;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 17, 'O')]
Саки тебе кошек;[(0, 4, 'B-BRAND'), (5, 9, 'O'), (10, 15, 'O')]
кабачки из тебе;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 15, 'O')]
хлопья;[(0, 6, 'B-TYPE')]
кофе;[(0, 4, 'B-TYPE')]
творожки для собкаи;[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 19, 'O')]
мави пукоша килу;[(0, 4, 'O'), (5, 11, 'O'), (12, 16, 'O')]
киае алтио;[(0, 4, 'O'), (5, 10, 'O')]
чам из шашлыка;[(0, 3, 'B-TYPE'), (4, 6, 'O'), (7, 14, 'O')]
омидор из шшлыка шашлка;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 16, 'O'), (17, 23, 'O')]
чай;[(0, 3, 'B-TYPE')]
бухочки без всей;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 16, 'O')]
помидор без весй тебе;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 16, 'O'), (17, 21, 'O')]
вод на аджие аджие;[(0, 3, 'B-TYPE'), (4, 6, 'O'), (7, 12, 'O'), (13, 18, 'O')]
бефа винана факоко;[(0, 4, 'O'), (5, 11, 'O'), (12, 18, 'O')]
пюре армне в глютна солью;[(0, 4, 'B-TYPE'), (5, 10, 'I-TYPE'), (11, 12, 'O'), (13, 19, 'O'), (20, 25, 'O')]
хлопья для перцем;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 17, 'O')]
курица для солью;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 16, 'O')]
пюре;[(0, 4, 'B-TYPE')]
опимдор для кошек;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 17, 'O')]
вода для аджике;[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 15, 'O')]
пмидор из всеу;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 14, 'O')]
Вита сейчас;[(0, 4, 'B-BRAND'), (5, 11, 'O')]
воад фиел из отрбями;[(0, 4, 'B-TYPE'), (5, 9, 'I-TYPE'), (10, 12, 'O'), (13, 20, 'O')]
метчуп в етбе;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 13, 'O')]
сосиско в завтрак;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 17, 'O')]
хекомо;[(0, 6, 'O')]
офе в перцм;[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 11, 'O')]
лцпша по шалшыка изюмом;[(0, 5, 'B-TYPE'), (6, 8, 'O'), (9, 16, 'O'), (17, 23, 'O')]
йогурт на солью;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 15, 'O')]
колбаса;[(0, 7, 'B-TYPE')]
гречак по банке;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 15, 'O')]
пюре по вкусом;[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 14, 'O')]
перловка батон в сбаки;[(0, 8, 'B-TYPE'), (9, 14, 'I-TYPE'), (15, 16, 'O'), (17, 22, 'O')]
ебри хеш саша;[(0, 4, 'O'), (5, 8, 'O'), (9, 13, 'O')]
перловка детский без аджике семье;[(0, 8, 'B-TYPE'), (9, 16, 'I-TYPE'), (17, 20, 'O'), (21, 27, 'O'), (28, 33, 'O')]
гречка в кошек пакетах;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 14, 'O'), (15, 22, 'O')]
олбаса для отрубями собак;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 19, 'O'), (20, 25, 'O')]
сыр в детей пакетах;[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 11, 'O'), (12, 19, 'O')]
надо;[(0, 4, 'O')]
литохе бщлири ттоли;[(0, 6, 'O'), (7, 13, 'O'), (14, 19, 'O')]
махена;[(0, 6, 'O')]
перловка;[(0, 8, 'B-TYPE')]
маакроны по банке;[(0, 8, 'B-TYPE'), (9, 11, 'O'), (12, 17, 'O')]
фазо тасаоа лизови;[(0, 4, 'O'), (5, 11, 'O'), (12, 18, 'O')]
котбаса из олью;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 15, 'O')]
фис нарезка по шашлыка;[(0, 3, 'B-TYPE'), (4, 11, 'I-TYPE'), (12, 14, 'O'), (15, 22, 'O')]
вод из завтрак;[(0, 3, 'B-TYPE'), (4, 6, 'O'), (7, 14, 'O')]
сыр по завтрак;[(0, 3, 'B-TYPE'), (4, 6, 'O'), (7, 14, 'O')]
хекмоо фавиз;[(0, 6, 'O'), (7, 12, 'O')]
мозо талузо;[(0, 4, 'O'), (5, 11, 'O')]
гречка в пакетах;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 16, 'O')]
макаорны в собаки;[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 17, 'O')]
лапша без завтрак;[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 17, 'O')]
бедумо ралуко нвеи;[(0, 6, 'O'), (7, 13, 'O'), (14, 18, 'O')]
дутоко нара;[(0, 6, 'O'), (7, 11, 'O')]
Шазо тбее чемье;[(0, 4, 'B-BRAND'), (5, 9, 'O'), (10, 15, 'O')]
Нали акция шашлыка;[(0, 4, 'B-BRAND'), (5, 10, 'O'), (11, 18, 'O')]
салаы;[(0, 5, 'B-TYPE')]
пюре на глютена отрубмяи;[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 15, 'O'), (16, 24, 'O')]
некома сара дун;[(0, 6, 'O'), (7, 11, 'O'), (12, 15, 'O')]
мука без изюмом;[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 15, 'O')]
Хеви нвоый;[(0, 4, 'B-BRAND'), (5, 10, 'O')]
макарноы с перцм аджике;[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 16, 'O'), (17, 23, 'O')]
Раазо ацкия;[(0, 5, 'B-BRAND'), (6, 11, 'O')]
уголь без вкус;[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 14, 'O')]
мка филе в кошек;[(0, 3, 'B-TYPE'), (4, 8, 'I-TYPE'), (9, 10, 'O'), (11, 16, 'O')]
онаду;[(0, 5, 'O')]
сыр на собак;[(0, 3, 'B-TYPE'), (4, 6, 'O'), (7, 12, 'O')]
килйду вилили ашфалу;[(0, 6, 'O'), (7, 13, 'O'), (14, 20, 'O')]
помидор батон для детей вкцсом;[(0, 7, 'B-TYPE'), (8, 13, 'I-TYPE'), (14, 17, 'O'), (18, 23, 'O'), (24, 30, 'O')]
лашпа с банке;[(0, 5, 'B-TYPE'), (6, 7, 'O'), (8, 13, 'O')]
кабачки в банке дтей;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 15, 'O'), (16, 20, 'O')]
аслаы;[(0, 5, 'B-TYPE')]
колбаса спагетти на етбе;[(0, 7, 'B-TYPE'), (8, 16, 'I-TYPE'), (17, 19, 'O'), (20, 24, 'O')]
Кибеду новый;[(0, 6, 'B-BRAND'), (7, 12, 'O')]
шаурма для чесфоком;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 19, 'O')]
риж фиел в аджике;[(0, 3, 'B-TYPE'), (4, 8, 'I-TYPE'), (9, 10, 'O'), (11, 17, 'O')]
чурица;[(0, 6, 'B-TYPE')]
салаты без изюмом;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 17, 'O')]
печенье с вкусом;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 16, 'O')]
тосвки;[(0, 6, 'O')]
колбаса из шашдыка;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 18, 'O')]
макроны раемн для изюмом;[(0, 7, 'B-TYPE'), (8, 13, 'I-TYPE'), (14, 17, 'O'), (18, 24, 'O')]
булочки рамен с перцем;[(0, 7, 'B-TYPE'), (8, 13, 'I-TYPE'), (14, 15, 'O'), (16, 22, 'O')]
Шазо новый;[(0, 4, 'B-BRAND'), (5, 10, 'O')]
сосиски спабетти без слью;[(0, 7, 'B-TYPE'), (8, 16, 'I-TYPE'), (17, 20, 'O'), (21, 25, 'O')]
вода для тебе собаки;[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 13, 'O'), (14, 20, 'O')]
Тото сейчас;[(0, 4, 'B-BRAND'), (5, 11, 'O')]
шдурма в шашыка детрй;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 15, 'O'), (16, 21, 'O')]
кишано;[(0, 6, 'O')]
жидкость нарезка на аажике;[(0, 8, 'B-TYPE'), (9, 16, 'I-TYPE'), (17, 19, 'O'), (20, 26, 'O')]
гречка;[(0, 6, 'B-TYPE')]
жидкость в перцем;[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 17, 'O')]
Луна ярдом;[(0, 4, 'B-BRAND'), (5, 10, 'O')]
грчека в отрубями ажике;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 17, 'O'), (18, 23, 'O')]
холпья из солью;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 15, 'O')]
лунйли разоду ыкл;[(0, 6, 'O'), (7, 13, 'O'), (14, 17, 'O')]
сакифа;[(0, 6, 'O')]
сыр бедро без тебе;[(0, 3, 'B-TYPE'), (4, 9, 'I-TYPE'), (10, 13, 'O'), (14, 18, 'O')]
дуви неду;[(0, 4, 'O'), (5, 9, 'O')]
колбаса на отрубямк аджике;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 19, 'O'), (20, 26, 'O')]
хлопья для вкусом;[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 17, 'O')]
кофе с изюмом;[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 13, 'O')]
хлопья фермерский по пакетах;[(0, 6, 'B-TYPE'), (7, 17, 'I-TYPE'), (18, 20, 'O'), (21, 28, 'O')]
вода из аджиое тебе;[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 14, 'O'), (15, 19, 'O')]
Фара акция;[(0, 4, 'B-BRAND'), (5, 10, 'O')]
немори мозото;[(0, 6, 'O'), (7, 13, 'O')]
рип;[(0, 3, 'B-TYPE')]
лша саллу коеи;[(0, 3, 'O'), (4, 9, 'O'), (10, 14, 'O')]
хлопья с пакетах;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 16, 'O')]
чай из шашлыка;[(0, 3, 'B-TYPE'), (4, 6, 'O'), (7, 14, 'O')]
лима тко;[(0, 4, 'O'), (5, 8, 'O')]
печенье с собаки;[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 16, 'O')]
хлопья стьловый без тлбо;[(0, 6, 'B-TYPE'), (7, 15, 'I-TYPE'), (16, 19, 'O'), (20, 24, 'O')]
помидор;[(0, 7, 'B-TYPE')]
акбачк из детей собаки;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 15, 'O'), (16, 22, 'O')]
жидкость для завтрак;[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 20, 'O')]
кабачки на вкусмо;[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 17, 'O')]
булочки без отрубями;[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 20, 'O')]
апшо с шашлыка;[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 14, 'O')]
чай спагетти без собаки;[(0, 3, 'B-TYPE'), (4, 12, 'I-TYPE'), (13, 16, 'O'), (17, 23, 'O')]
вода из детей;[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 13, 'O')]
салаты;[(0, 6, 'B-TYPE')]
кита линена;[(0, 4, 'O'), (5, 11, 'O')]
зошаен лубе видуа;[(0, 6, 'O'), (7, 11, 'O'), (12, 17, 'O')]
сона;[(0, 4, 'O')]
тали;[(0, 4, 'O')]
гречка на адфике;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 16, 'O')]
сыэ с вкусом;[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 12, 'O')]
салаты беджо в собаи;[(0, 6, 'B-TYPE'), (7, 12, 'I-TYPE'), (13, 14, 'O'), (15, 20, 'O')]
Мато сейчас;[(0, 4, 'B-BRAND'), (5, 11, 'O')]
кетыуп в вкусом;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 15, 'O')]
хлопья в соьлю;[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 14, 'O')]
макароын на перцем шашлбка;[(0, 8, 'B-TYPE'), (9, 11, 'O'), (12, 18, 'O'), (19, 26, 'O')]
курица на слью;[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 14, 'O')]
пюре в орубями вкусом;[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 14, 'O'), (15, 21, 'O')]
соль;[(0, 4, 'B-TYPE')]
грчка для глютена чесноком;[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 17, 'O'), (18, 26, 'O')]
сыш детский для изюмом;[(0, 3, 'B-TYPE'), (4, 11, 'I-TYPE'), (12, 15, 'O'), (16, 22, 'O')]
соль без завтрак;[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 16, 'O')]
рис на собаик;[(0, 3, 'B-TYPE'), (4, 6, 'O'), (7, 13, 'O')]
творожки филе с семье;[(0, 8, 'B-TYPE'), (9, 13, 'I-TYPE'), (14, 15, 'O'), (16, 21, 'O')]
жидкотсь;[(0, 8, 'B-TYPE')]
риду;[(0, 4, 'O')]
вдоа в глютена глтюена;[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 14, 'O'), (15, 22, 'O')]
грчка с завтрак;[(0, 5, 'B-TYPE'), (6, 7, 'O'), (8, 15, 'O')]
лапа столовый без осбаки;[(0, 4, 'B-TYPE'), (5, 13, 'I-TYPE'), (14, 17, 'O'), (18, 24, 'O')]
етаки;[(0, 5, 'O')]
сжр с собак глтюена;[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 11, 'O'), (12, 19, 'O')]
макароны флие с собак;[(0, 8, 'B-TYPE'), (9, 13, 'I-TYPE'), (14, 15, 'O'), (16, 21, 'O')]
кабачки нарезка по зватрак чесноком;[(0, 7, 'B-TYPE'), (8, 15, 'I-TYPE'), (16, 18, 'O'), (19, 26, 'O'), (27, 35, 'O')]
помиор амен из квусом;[(0, 6, 'B-TYPE'), (7, 11, 'I-TYPE'), (12, 14, 'O'), (15, 21, 'O')]
амша моко;[(0, 4, 'O'), (5, 9, 'O')]
углль из чеяноком;[(0, 5, 'B-TYPE'), (6, 8, 'O'), (9, 17, 'O')]
кабачки фюе в чесноком чесноком;[(0, 7, 'B-TYPE'), (8, 11, 'I-TYPE'), (12, 13, 'O'), (14, 22, 'O'), (23, 31, 'O')]
соль из перцем;[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 14, 'O')]
соль бердо;[(0, 4, 'B-TYPE'), (5, 10, 'I-TYPE')]
кифзра фави зянто;[(0, 6, 'O'), (7, 11, 'O'), (12, 17, 'O')]
